priority,keyword,page,position,impressions,clicks,intent,commercial_potential,volume,keyword_difficulty,score,recommendation,content_type,confidence,reason,next_action,approval_status
Medium,house moving quotes,,15,2960,12,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,960 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,best cities in italy to live,,10,260,12,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 260 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,cost of house removals uk,,9,258,12,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 258 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,removals jobs near me,,8,301,11,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 301 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,best places to move abroad from uk,,6,467,10,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 467 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,packing and moving services,,13,3817,9,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,817 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,packing and removal services,,12,1946,9,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,946 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,house moving companies near me,,14,1768,9,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,768 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,average cost of house removals uk,,6,497,9,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 497 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,removal services near me,,17,4047,8,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 4,047 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,moving service,,19,3470,8,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,470 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,moving company cost,,11,2231,8,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,231 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,movers and packers near me,,19,2103,8,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,103 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,best removal companies near me,,13,6237,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 6,237 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,self storage costs,,13,3285,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,285 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,how much do house removals cost,,17,1365,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,365 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,best national removal companies uk,,9,492,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 492 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,removal costs calculator uk gov,,8,399,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 399 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,cheapest long distance removal costs uk,,6,372,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 372 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,best place to move abroad from uk,,6,338,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 338 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,best international removal companies uk,,7,215,7,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 215 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,house packing services,,13,2695,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,695 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,furniture storage costs per month,,13,1981,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,981 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,best international removal companies,,14,1844,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,844 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,cost of living in germany,,15,1567,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,567 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,removal services uk,,8,447,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 447 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,international removal companies near me,,8,330,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 330 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,home removals cost,,8,322,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 322 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,average house removal cost uk,,9,267,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 267 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,how much does it cost for a removal company,,8,218,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 218 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,cost of moving house calculator uk,,8,201,6,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,No existing page targets this keyword. 201 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.,N/A,needs_review
Medium,house moving services,,12,3316,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,316 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,removal service,,14,2764,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,764 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,removal company packing service,,14,2543,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,543 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,packers and movers near me,,19,2366,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,366 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,house moving costs,,16,2147,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,147 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,compare removal companies,,13,2036,5,BOFU,High,not_available,not_available,62,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,036 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 62/100.",N/A,needs_review
Medium,pickfords,,2,21533,2756,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 21,533 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,pickfords removals,,1,17277,2721,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 17,277 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,safest place to live in uk,,1,7309,653,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 7,309 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,pickford removals,,1,1385,246,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,385 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,pickfords international removals,,2,1090,187,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,090 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,manchester,,3,19731,148,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 19,731 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,skilled occupation list australia 2026,,3,4475,113,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 4,475 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,where is the safest place to live in the uk,,1,1624,113,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,624 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,easiest country to move to from uk,,2,3571,99,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,571 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,safest place in uk,,2,1222,84,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,222 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,safest places to live in uk,,2,1822,82,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,822 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,moving company uk,,3,16376,69,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 16,376 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,moving to australia from uk skilled occupation list,,2,3075,66,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,075 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,how to move to australia from uk,,3,9198,62,MOFU,Medium,not_available,not_available,60,Create New Content,New Blog,68,"No existing page targets this keyword. 9,198 monthly impressions going uncaptured. Create a New Blog to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal companies birmingham,,5,4743,60,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 4,743 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal companies sheffield,,5,3758,59,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,758 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,move to australia from uk,,4,7679,56,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 7,679 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,moving to australia from uk,,4,12186,55,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 12,186 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,pickfords storage costs,,1,128,51,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 128 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,how much do removal companies charge,,4,2107,47,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,107 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,long distance removals uk,,5,1087,45,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,087 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,easiest countries to move to from uk,,2,2530,37,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,530 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,weather blackpool,,4,1197,30,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,197 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,horsham,,2,4838,29,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 4,838 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal companies doncaster,,5,1503,26,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,503 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,international movers uk,,3,17603,24,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 17,603 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,hartlepool,,3,2868,23,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,868 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,travel warning,,3,1263,21,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,263 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,edinburgh live,,4,1504,20,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,504 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,blackpool weather,,5,1065,20,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,065 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,how much is storage per month,,5,4036,19,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 4,036 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,jobs in australia for uk citizens,,5,1038,19,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,038 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removals to australia,,4,13599,18,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 13,599 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,where can i move to from uk without a visa,,4,1958,17,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,958 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,morpeth,,2,1279,17,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,279 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,cost of house removal,,5,121,17,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 121 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,home removal costs uk,,3,77,17,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,63,No existing page targets this keyword. 77 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,international removals uk to australia,,3,7608,16,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 7,608 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,best place to live in thailand for expats,,3,175,16,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 175 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,is dubai a muslim country,,3,8646,15,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 8,646 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,jobs in australia,,1,1596,15,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,596 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removals to spain,,4,8904,14,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 8,904 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,can i move to australia from uk,,3,3199,14,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 3,199 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,is horsham a nice place to live,,4,1539,14,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,539 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,how much is a removal company,,4,1022,14,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,022 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,best cities to live in sweden,,5,169,14,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 169 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,best place to live in oxfordshire,,3,128,14,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 128 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,best places to live italy,,2,107,14,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 107 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,australia,,4,2144,13,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,144 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,australia occupation list 2026,,5,1423,13,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,423 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,moving companies sheffield,,4,1411,13,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,411 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,manchester is famous for,,4,1368,13,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,368 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,areas of edinburgh,,4,1406,12,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,406 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,emigrate to australia from uk,,4,1125,12,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,125 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal costs estimate,,4,132,12,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 132 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,best dog boarding london,,2,83,12,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,63,No existing page targets this keyword. 83 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,removal companies bolton,,5,1576,11,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,576 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal companies maidenhead,,4,1330,11,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,330 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,where is the best place to live in italy,,3,110,11,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 110 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,fish tank removal service,,5,55,11,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,63,No existing page targets this keyword. 55 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,removal companies walsall,,5,2066,10,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,066 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,manchester famous for,,4,1137,10,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,137 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,moving costs london,,5,125,10,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 125 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,best neighborhoods to live in edinburgh,,1,104,10,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,68,No existing page targets this keyword. 104 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,best areas to live edinburgh,,1,73,10,BOFU,High,not_available,not_available,60,Create New Content,New Landing Page,63,No existing page targets this keyword. 73 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 60/100.,N/A,needs_review
Medium,blackpool,,3,2651,9,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 2,651 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal company sheffield,,5,1672,9,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,672 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,barnsley,,3,1430,9,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,430 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
Medium,removal companies barnsley,,5,1326,9,MOFU,Medium,not_available,not_available,60,Create New Content,New Landing Page,68,"No existing page targets this keyword. 1,326 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. MOFU intent with medium commercial potential. Score: 60/100.",N/A,needs_review
